MoveLength_cm,Extensive,Intensive
0,6.44468e-4,6.44468e-4
0.25,6.44468e-4,6.44468e-4
0.5,6.44468e-4,6.44468e-4
0.75,0.004081633,0.007518797
1,0.004940924,0.022986037
1.25,0.027282492,0.053061224
1.5,0.046186896,0.087432868
1.75,0.060794844,0.12094522
2,0.083995704,0.173361976
2.25,0.102900107,0.20773362
2.5,0.144146079,0.237808808
2.75,0.166487648,0.283351235
3,0.188829216,0.324597207
3.25,0.21546724,0.365843179
3.5,0.234371643,0.415682062
3.75,0.249838883,0.449194415
4,0.264446831,0.483566058
4.25,0.287647691,0.491299678
4.5,0.302255639,0.521374866
4.75,0.325456498,0.54027927
5,0.340923738,0.551450054
5.25,0.363265306,0.582384533
5.5,0.377873255,0.593555317
5.75,0.396777658,0.608163265
6,0.412244898,0.623630505
6.25,0.419978518,0.639097744
6.5,0.450053706,0.653705693
6.75,0.464661654,0.653705693
7,0.472395274,0.664876477
7.25,0.487862513,0.680343716
7.5,0.499033298,0.691514501
7.75,0.505907626,0.702685285
8,0.517937701,0.744790548
8.25,0.54027927,0.759398496
8.5,0.559183673,0.77056928
8.75,0.566917293,0.789473684
9,0.578088077,0.812674544
9.25,0.592696026,0.831578947
9.5,0.612459721,0.842749731
9.75,0.630504834,0.84962406
10,0.642534909,0.860794844
10.25,0.661439313,0.860794844
10.5,0.676047261,0.860794844
10.75,0.687218045,0.8650913
11,0.706122449,0.872824919
11.25,0.718152524,0.872824919
11.5,0.725886144,0.872824919
11.75,0.737056928,0.880558539
12,0.744790548,0.907196563
12.25,0.751664876,0.910633727
12.5,0.767132116,0.910633727
12.75,0.774865736,0.9132116
13,0.782599356,0.914070892
13.25,0.797207304,0.921804511
13.5,0.816111708,0.925241676
13.75,0.838453276,0.925241676
14,0.842749731,0.940708915
14.25,0.858216971,0.944146079
14.5,0.869387755,0.944146079
14.75,0.872824919,0.944146079
15,0.888292159,0.951879699
15.25,0.888292159,0.956176155
15.5,0.896025779,0.963909774
15.75,0.902900107,0.963909774
16,0.906337272,0.963909774
16.25,0.910633727,0.963909774
16.5,0.918367347,0.966487648
16.75,0.940708915,0.982814178
17,0.945005371,0.982814178
17.25,0.944146079,0.989688507
17.5,0.951879699,0.993125671
17.75,0.956176155,0.993125671
18,0.96047261,0.993125671
18.25,0.96047261,0.993125671
18.5,0.964769066,0.993125671
18.75,0.982814178,0.993125671
19,0.985392052,1
19.25,0.993125671,1.000859291
19.5,0.993125671,1.000859291
19.75,0.997422127,1.000859291
20,1.000859291,1.000859291
