TurnAngle_deg,Extensive,Intensive
-179.90874767107852,0.001904762,0.001904762
-170.91331028752458,0.005714286,0.005714286
-161.91787290397065,0.013333333,0.024761905
-152.9224355204167,0.013333333,0.032380952
-143.9269981368628,0.017142857,0.033333333
-134.93156075330887,0.017142857,0.048571429
-125.93612336975494,0.020952381,0.055238095
-116.94068598620102,0.028571429,0.066666667
-107.9452486026471,0.043809524,0.096190476
-98.94981121909318,0.051428571,0.13047619
-89.95437383553926,0.059047619,0.146666667
-80.95893645198532,0.07047619,0.176190476
-71.9634990684314,0.074285714,0.186666667
-62.96806168487747,0.097142857,0.206666667
-53.97262430132355,0.12,0.22952381
-44.97718691776963,0.172380952,0.262857143
-35.9817495342157,0.201904762,0.285714286
-26.986312150661774,0.240952381,0.32
-17.99087476710785,0.311428571,0.379047619
-8.995437383553925,0.36952381,0.444761905
-0,0.424761905,0.473333333
8.995437383553925,0.474285714,0.52
17.99087476710785,0.545714286,0.545714286
26.986312150661774,0.620952381,0.587619048
35.9817495342157,0.696190476,0.628571429
44.97718691776963,0.744761905,0.674285714
53.97262430132355,0.78952381,0.696190476
62.96806168487747,0.833333333,0.726666667
71.9634990684314,0.878095238,0.779047619
80.95893645198532,0.892380952,0.79047619
89.95437383553926,0.921904762,0.80952381
98.94981121909318,0.937142857,0.835238095
107.9452486026471,0.948571429,0.86952381
116.94068598620102,0.957142857,0.915238095
125.93612336975494,0.968571429,0.940952381
134.93156075330887,0.967619048,0.956190476
143.9269981368628,0.975238095,0.963809524
152.9224355204167,0.979047619,0.981904762
161.91787290397065,0.986666667,0.99047619
170.91331028752458,0.99047619,0.993333333
179.90874767107852,0.994285714,1.000952381
